Symbol,Name,Price,Change,% Change,Volume,Avg Vol(3 months),Market Cap
SQ,"Square, Inc.",151.05,-3.45,-2.23%,9.674M,12.978M,66.996B
NBL,"Noble Energy, Inc.",9.32,+0.30,+3.33%,11.21M,15.319M,4.517B
MRNA,"Moderna, Inc.",68.84,+1.96,+2.93%,10.972M,20.011M,27.163B
FITB,Fifth Third Bancorp,22.05,+0.17,+0.80%,12.424M,6.38M,15.701B
OPK,"OPKO Health, Inc.",3.1800,+0.0300,+0.95%,9.923M,18.063M,2.13B
MRK,"Merck & Co., Inc.",85.57,+1.36,+1.62%,9.63M,8.139M,216.427B
HBAN,Huntington Bancshares Incorporated,9.89,+0.04,+0.41%,9.863M,10.008M,10.061B
INFY,Infosys Limited,13.56,+0.22,+1.65%,9.826M,10.123M,57.514B
MO,"Altria Group, Inc.",41.76,-1.02,-2.38%,9.526M,7.43M,77.607B
APA,Apache Corporation,12.50,+0.56,+4.69%,9.673M,9.497M,4.728B
BABA,Alibaba Group Holding Limited,278.14,+0.18,+0.06%,9.292M,15.764M,762.437B
EBAY,eBay Inc.,50.42,-1.36,-2.63%,9.394M,9.777M,35.288B
KHC,The Kraft Heinz Company,31.36,-0.61,-1.91%,9.321M,5.96M,38.34B
WMT,Walmart Inc.,136.26,-1.10,-0.80%,9.115M,10.365M,386.127B
COP,ConocoPhillips,35.08,+1.28,+3.79%,8.921M,6.669M,37.626B
MPC,Marathon Petroleum Corporation,32.36,+1.27,+4.08%,8.831M,7.801M,21.056B
HST,"Host Hotels & Resorts, Inc.",12.06,+0.04,+0.33%,10.708M,10.829M,8.505B
BHC,Bausch Health Companies Inc.,16.88,+0.62,+3.81%,9.108M,4.198M,6B
RKT,"Rocket Companies, Inc.",22.72,-0.64,-2.74%,8.757M,28.833M,46.707B
SPG,"Simon Property Group, Inc.",74.12,+3.05,+4.29%,8.9M,6.111M,22.673B
RTX,Raytheon Technologies Corporation,62.92,+1.48,+2.41%,8.419M,8.88M,97.92B
CWH,"Camping World Holdings, Inc.",30.30,-2.78,-8.40%,8.75M,2.967M,2.684B
SCHW,The Charles Schwab Corporation,35.75,+1.00,+2.88%,8.779M,9.573M,46.069B
MYL,Mylan N.V.,16.00,+0.05,+0.31%,8.704M,5.18M,8.271B
MS,Morgan Stanley,51.15,+0.76,+1.51%,8.565M,10.071M,80.651B
CTL,"CenturyLink, Inc.",11.00,+0.01,+0.09%,8.03M,11.357M,12.073B
UAA,"Under Armour, Inc.",12.23,+0.57,+4.89%,9.113M,7.43M,5.204B
CPRI,Capri Holdings Limited,21.89,+0.74,+3.50%,8.572M,3.586M,3.307B
MET,"MetLife, Inc.",37.63,+0.12,+0.32%,8.481M,5.442M,34.155B
