position,Company,location,weblink,Job ID
 .NET Developer , IDC Technologies ," Houston, TX, USA",https://www.dice.com/jobs/detail/.net-developer-idc-technologies-houston-tx-77001/10114879/6407920?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 6432648
 Full Stack .Net Developer (Mid level ) , Intellisoft Technologies ," Princeton, NJ, USA",https://www.dice.com/jobs/detail/full-stack-.net-developer-%28mid-level-%29-intellisoft-technologies-princeton-nj-08540/intelsft/6432648?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : ZT_DD
 .Net Developer , Applied Thought Auditors & Consultants Inc. ," Georgetown, KY 40324, USA",https://www.dice.com/jobs/detail/.net-developer-applied-thought-auditors-%26-consultants-inc.-georgetown-ky-40324/10468729/ZT_DD?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 15734-MPR
 .Net Developer , nTech Solutions ," Hanover, MD 21076, USA",https://www.dice.com/jobs/detail/.net-developer-ntech-solutions-hanover-md-21076/10300723/15734%26%2345MPR?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 6414659
 .NET Developer , Saksoft ," Atlanta, GA, USA",https://www.dice.com/jobs/detail/.net-developer-saksoft-atlanta-ga-30301/10416061/6414659?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,"Position Id : ,NetDockernyc"
 .Net developer with Docker / Kubenetes : 10+ yrs resume needed ," Marlabs, Inc "," New York, NY, USA",https://www.dice.com/jobs/detail/.net-developer-with-docker-%26%2347-kubenetes-%3A-10%2B-yrs-resume-needed-marlabs%2C-inc-new-york-ny-10001/marlabnj/%2CNetDockernyc?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 6362191
 Dot net developer/Architect , Outworx Corporation ," Oaks, PA, USA",https://www.dice.com/jobs/detail/dot-net-developer%26%2347architect-outworx-corporation-oaks-pa-19456/10285856/6362191?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 6423150
 Sr .NET Developer , Saksoft ," Atlanta, GA, USA",https://www.dice.com/jobs/detail/sr-.net-developer-saksoft-atlanta-ga-30301/10416061/6423150?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 2020-330
 .Net Developer , Global Soft Systems ," Kansas City, KS, USA",https://www.dice.com/jobs/detail/.net-developer-global-soft-systems-kansas-city-ks-66101/90938717/2020%26%2345330?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 6431383
 .Net Developer ," Charter Global, Inc. "," Philadelphia, PA, USA",https://www.dice.com/jobs/detail/.net-developer-charter-global%2C-inc.-philadelphia-pa-19019/chartpro/6431383?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 6108068
